"","time","f1","b1","f2","b2","f3","b3","f4","b4","f1p","f2p","f3p","f4p","f0","intensity","harmonicity","age","gender"
"18",0.755234,448.4,61.8,2591.7,94.6,3135.8,581.2,4095.5,173.1,580,2645.4,3254,4422.7,224.6,85.6,19.7,30,0
"19",0.757234,448.6,63.2,2594.4,91.5,3137.1,564.6,4090.9,186,575.1,2648.9,3251.3,4417.7,224.4,85.5,20.6,30,0
"20",0.759234,447.9,64.1,2599.2,88.6,3118.3,558.7,4086.4,206.4,570.3,2652,3248.3,4412.4,224.3,85.4,20.8,30,0
"21",0.761234,447.1,63.6,2606,83.7,3101,563.3,4079.1,235,565.5,2654.7,3245.1,4406.7,224.2,85.3,20.8,30,0
"22",0.763234,446.3,62.3,2612.6,76.4,3099.9,574.7,4070.7,260.9,560.8,2657.1,3241.6,4400.6,224.2,85.3,20.7,30,0
"23",0.765234,445.4,61.5,2618.5,68.4,3116.2,582,4072.2,262.7,556.1,2659.1,3237.9,4394.1,224.2,85.3,21,30,0
"24",0.767234,444.6,61.6,2625.4,60.2,3141.6,575.7,4090.6,231.3,551.6,2660.7,3234,4387.3,224.2,85.3,21.9,30,0
"25",0.769234,444.5,62.5,2632.9,52.8,3160.2,562.9,4113.3,186.5,547.1,2661.9,3229.8,4380.2,224.3,85.3,23,30,0
"26",0.771234,445.3,63.1,2639.6,46.8,3162.5,558.4,4130.4,150.1,542.7,2662.7,3225.4,4372.7,224.4,85.4,24.1,30,0
"27",0.773234,446.8,63.1,2645.2,43.2,3147.4,567.5,4141.9,130.2,538.4,2663.1,3220.8,4364.8,224.6,85.4,25.1,30,0
"28",0.775234,448.4,61.9,2650.9,41.5,3123.8,581.8,4151.2,125.5,534.2,2663.1,3215.9,4356.6,224.8,85.5,25.5,30,0
"29",0.777234,449.8,59.9,2657.1,40.1,3107.3,593.1,4163.3,135.8,530.1,2662.7,3210.8,4348.1,225.1,85.5,25.2,30,0
"30",0.779234,450.7,58.5,2662.8,38.5,3115.1,595.5,4181.4,157.4,526.1,2661.9,3205.5,4339.2,225.3,85.5,24.5,30,0
"31",0.781234,451.5,59.1,2667.9,37.9,3146,576.5,4204.6,173.7,522.2,2660.7,3199.9,4330,225.6,85.5,23.5,30,0
"32",0.783234,452.2,62.4,2672.5,40.4,3180.4,536.4,4216.6,163.2,518.4,2659.1,3194.2,4320.5,226,85.5,22.5,30,0
"33",0.785234,452.8,67.2,2676.8,46.9,3202.6,512.2,4208.1,140.2,514.7,2657,3188.2,4310.6,226.3,85.5,21.8,30,0
"34",0.787234,453.2,71.6,2679.6,58.6,3208.8,542.1,4189,129.4,511.1,2654.6,3182,4300.5,226.7,85.5,21.4,30,0
"35",0.789234,453.8,73.9,2678.5,74.6,3193.3,625.7,4168.3,132.5,507.7,2651.7,3175.7,4290,227,85.5,21.2,30,0
"36",0.791234,454.5,75.2,2672.3,94.9,3156.4,709.8,4149.3,132,504.3,2648.4,3169.1,4279.3,227.4,85.5,21,30,0
"37",0.793234,455.3,77.1,2661.5,115.4,3129.9,719.2,4140.1,118.1,501.1,2644.7,3162.3,4268.3,227.7,85.6,21,30,0
"38",0.795234,455.6,81,2649.3,125.6,3141.9,651.5,4141.6,99.8,497.9,2640.6,3155.4,4257,228.1,85.7,21.2,30,0
"39",0.797234,455.1,87.1,2639.9,118.1,3173.8,555.4,4146.2,86.8,494.9,2636.1,3148.3,4245.4,228.4,85.8,21.5,30,0
"40",0.799234,453.8,92.4,2633.9,101.3,3200.2,491.5,4148.9,86.7,492,2631.1,3141,4233.5,228.8,85.8,22.2,30,0
"41",0.801234,452,96.1,2628,84.5,3220.2,466.2,4150.3,96.9,489.2,2625.8,3133.5,4221.4,229.1,85.9,22.9,30,0
"42",0.803234,449.7,98.6,2621.1,71.3,3231.8,459.1,4154.7,104,486.6,2620,3125.9,4209.1,229.3,85.9,23.5,30,0
"43",0.805234,447.7,100,2613.5,63.7,3229.2,453.4,4166.5,95.4,484.1,2613.8,3118.1,4196.5,229.6,85.9,23.8,30,0
"44",0.807234,447.5,98.8,2605.1,62.8,3208,448,4183.5,77.5,481.7,2607.2,3110.2,4183.7,229.8,85.9,23.8,30,0
"45",0.809234,449.5,94.9,2595.7,67.1,3174.1,439.1,4198.6,64.1,479.4,2600.2,3102.1,4170.7,230,85.8,23.5,30,0
"46",0.811234,452,90,2583,71.1,3139.4,408.8,4210.3,56.3,477.3,2592.8,3093.9,4157.4,230.1,85.7,23.1,30,0
"47",0.813234,453.7,85.2,2566.8,68.7,3116.6,358.6,4218.6,52.8,475.3,2584.9,3085.5,4144,230.2,85.6,22.7,30,0
"48",0.815234,454.2,80.8,2549.5,60.8,3108.4,314.4,4223.5,54.1,473.4,2576.7,3077.1,4130.3,230.3,85.5,22.4,30,0
"49",0.817234,454.1,76.3,2533.3,53.5,3109.7,298.3,4224.8,63.4,471.7,2568.1,3068.5,4116.5,230.3,85.4,22.3,30,0
"50",0.819234,454.2,70.9,2521.4,52.2,3107.5,314.3,4223.2,81.7,470.1,2559.1,3059.8,4102.5,230.2,85.3,22.3,30,0
"51",0.821234,454.5,63.9,2514.4,57.7,3084.7,336.1,4218.3,102.7,468.6,2549.7,3051,4088.4,230.1,85.1,22.3,30,0
"52",0.823234,454.5,56.5,2513.4,70,3039.5,331.4,4208.2,109.8,467.3,2539.9,3042.1,4074.1,230,85,22.2,30,0
"53",0.825234,453.6,50.6,2518,82.9,2986.9,309.8,4197.3,97.5,466.1,2529.7,3033.1,4059.6,229.8,84.8,22,30,0
"54",0.827234,451.6,47.6,2519.6,82.9,2932,291.5,4189.8,81.8,465.1,2519.2,3024,4045.1,229.6,84.5,21.4,30,0
"55",0.829234,448.5,49,2512.8,74.4,2884,280.9,4183.9,78.7,464.1,2508.3,3014.8,4030.4,229.4,84.1,20.7,30,0
"56",0.831234,444,55.6,2503.1,71.2,2852.2,275.7,4176.5,97,463.4,2497.1,3005.6,4015.6,229.1,83.7,19.9,30,0
"57",0.833234,438,70,2493.2,78.5,2841,276.3,4166.7,149.7,462.7,2485.4,2996.3,4000.7,228.7,83.3,19.2,30,0
"58",0.835234,431.4,97.9,2486.2,101.2,2840,298.2,4157.1,232.4,462.2,2473.5,2987,3985.7,228.4,82.8,18.6,30,0
"59",0.837234,425.2,150.6,2494,136,2845.7,386.9,4153.5,293.9,461.9,2461.2,2977.6,3970.7,228,82.4,18.1,30,0
"60",0.839234,425.6,228,2517.7,139.9,2891,586.9,4167,312.6,461.6,2448.5,2968.2,3955.6,227.5,81.9,17.8,30,0
"61",0.841234,450.5,319.8,2526.4,117.4,3025.9,781.8,4186.4,282.1,461.5,2435.5,2958.8,3940.4,227.1,81.5,17.5,30,0
"62",0.843234,511.1,376.3,2518.6,108.3,3150.8,798.7,4192.4,242.8,461.6,2422.3,2949.3,3925.2,226.6,81,17.2,30,0
"63",0.845234,569.8,377.6,2502.8,114.9,3190.7,808.8,4160.5,2822.4,461.8,2408.6,2939.8,3910,226.2,80.6,16.8,30,0
"64",0.847234,599.1,371.3,2478.2,132.5,3193,936.3,3910,2167.8,462.1,2394.7,2930.3,3894.8,225.7,80.2,16.4,30,0
"65",0.849234,600.1,373.4,2442.9,146.7,3138.2,1207.2,3724.1,1253.6,462.5,2380.5,2920.8,3879.5,225.2,79.8,16.1,30,0
"66",0.851234,593,369.1,2403.4,141.9,3040.4,1270.4,3686.5,758.5,463.1,2366,2911.3,3864.3,224.8,79.4,15.7,30,0
"67",0.853234,590.8,366.2,2378.6,125.1,3068.6,1260.1,3661.1,654.6,463.8,2351.2,2901.9,3849.1,224.3,79,15.2,30,0
"68",0.855234,589.2,375.4,2374.7,121.1,3113.2,1113,3688.4,775.5,464.7,2336.2,2892.4,3833.9,223.8,78.6,14.6,30,0
"69",0.857234,578.6,389.7,2386.8,142.1,3006,800.4,3865.5,857.8,465.7,2320.9,2883,3818.8,223.4,78.3,13.6,30,0
"70",0.859234,568,391,2398,177.8,2888.2,536.6,4051.2,647.6,466.8,2305.3,2873.7,3803.7,222.9,78,12.4,30,0
"71",0.861234,580.1,374.1,2389.4,202.4,2829.2,332.2,4112.5,406.1,468,2289.5,2864.3,3788.7,222.5,77.9,11.2,30,0
"72",0.863234,622.7,334.3,2358.5,196.9,2811.6,207.9,4139.5,274.7,469.4,2273.5,2855.1,3773.8,222,77.8,10.1,30,0
"73",0.865234,671.6,279.8,2319,176,2811.3,146.8,4145.7,206.9,470.9,2257.2,2845.9,3759,221.6,78,9.5,30,0
"74",0.867234,704.2,238.4,2285.2,163.5,2815.8,126,4132.6,182.6,472.5,2240.7,2836.7,3744.3,221.2,78.4,9.4,30,0
"75",0.869234,712.2,233,2270,175.5,2817.2,137.8,4106.9,196.2,474.2,2224.1,2827.7,3729.7,220.8,78.9,9.6,30,0
"76",0.871234,700.5,264.9,2279.7,214.8,2813,182,4084.2,242.2,476.1,2207.2,2818.7,3715.2,220.4,79.5,10,30,0
"77",0.873234,677.5,320.1,2320.2,270.7,2807.2,259,4099.8,298.8,478,2190.2,2809.9,3700.8,219.9,80.1,10.7,30,0
"78",0.875234,664.8,353.9,2386.6,310.8,2809.6,360.8,4167.1,285.5,480.1,2172.9,2801.1,3686.6,219.5,80.8,11.4,30,0
"79",0.877234,680.1,330.4,2462.4,313,2826.2,494.9,4172.7,2563.4,482.3,2155.6,2792.4,3672.6,219.1,81.4,12.3,30,0
"80",0.879234,704.2,290.7,2531.6,284.8,2862.5,724.9,3847.3,2645.2,484.6,2138,2783.9,3658.7,218.6,81.9,13.6,30,0
"81",0.881234,721.2,271.5,2584.4,240.5,2979.6,1235,3383.8,2198.6,487,2120.4,2775.4,3645.1,218.2,82.4,14.9,30,0
"82",0.883234,725,272.5,2595.2,1974.9,2620.7,221.2,3470.8,1103.4,489.6,2102.6,2767.1,3631.6,217.7,82.8,16.1,30,0
"83",0.885234,713.6,277.5,2345.2,1593.5,2646.2,234.2,3574.9,852,492.2,2084.7,2759,3618.3,217.2,83.1,17,30,0
"84",0.887234,692.3,271.6,2263,1096.2,2663.2,278.9,3616.2,712.1,494.9,2066.7,2751,3605.2,216.6,83.3,17.6,30,0
"85",0.889234,675.2,250.2,2243.1,726.7,2680.1,331.7,3614.2,624.5,497.7,2048.6,2743.1,3592.4,216.1,83.5,18,30,0
"86",0.891234,669.7,215.6,2233.8,502.1,2702.4,352.9,3590.6,563.6,500.7,2030.4,2735.4,3579.8,215.4,83.5,18.2,30,0
"87",0.893234,676,175.8,2226.1,393.4,2721.9,330.9,3563,522.2,503.7,2012.1,2727.8,3567.4,214.8,83.5,18.3,30,0
"88",0.895234,689.2,142,2214.6,360,2730.2,288.1,3542.8,495.4,506.8,1993.8,2720.4,3555.3,214.1,83.4,18.3,30,0
"89",0.897234,704.3,119.1,2192,366,2727.2,250.7,3535.4,484,510,1975.5,2713.2,3543.5,213.3,83.3,18.1,30,0
"90",0.899234,716.4,105.7,2160.5,374.5,2718.2,239,3535.4,484.6,513.3,1957.1,2706.2,3531.9,212.5,83.2,17.7,30,0
"91",0.901234,724.6,96,2126.4,379.5,2702.5,257,3531.1,481,516.6,1938.7,2699.4,3520.7,211.7,83.1,17.3,30,0
"92",0.903234,728.8,89.8,2093,405.7,2674.5,302.4,3525.6,476.4,520,1920.3,2692.7,3509.7,210.8,83,16.7,30,0
"93",0.905234,729.9,88.7,2058.5,474.2,2629.8,356.8,3529.8,486.4,523.5,1901.9,2686.3,3499,209.9,82.9,16,30,0
"94",0.907234,729.1,92.1,2019.6,582,2580.4,386.1,3547.5,517.8,527.1,1883.5,2680,3488.6,208.9,82.8,15.2,30,0
"95",0.909234,728.1,97.7,1985.9,683.3,2555.1,389,3558.3,551.2,530.8,1865.1,2674,3478.6,208,82.8,14.2,30,0
"96",0.911234,728.3,104.3,1962.8,771.8,2548.1,388.8,3550.4,553.7,534.5,1846.8,2668.2,3468.9,207,82.7,13.2,30,0
"97",0.913234,729.7,110.4,1943.8,846.1,2548,383.5,3538.9,513.2,538.2,1828.5,2662.6,3459.5,206,82.6,12.2,30,0
"98",0.915234,731.9,114.4,1928.7,886.5,2556,374.2,3533.6,460.5,542.1,1810.3,2657.2,3450.4,204.9,82.6,11.5,30,0
"99",0.917234,733.8,116.2,1918.3,872.5,2579.3,359,3534.4,424.1,545.9,1792.1,2652.1,3441.8,203.9,82.5,11,30,0
"100",0.919234,733.3,118.3,1904.3,813.7,2613.1,327.6,3543.1,403.2,549.9,1774.1,2647.1,3433.4,203,82.4,10.6,30,0
"101",0.921234,727.4,126.4,1881.2,754,2643.9,287.9,3560.3,384,553.9,1756.1,2642.4,3425.5,202,82.3,10.4,30,0
"102",0.923234,711.8,147.3,1848.3,731,2664.1,262.8,3583.2,370.4,557.9,1738.2,2638,3417.9,201.1,82.2,10.3,30,0
"103",0.925234,679.9,189.3,1804.3,768.5,2673.7,266.5,3609.3,383.1,561.9,1720.5,2633.8,3410.6,200.2,82.1,10.1,30,0
"104",0.927234,620,258.1,1738.9,891.5,2669.6,299.5,3638.1,444,566,1702.9,2629.8,3403.8,199.4,82.1,10,30,0
"105",0.929234,531,309.7,1623.4,1103.6,2645.5,327.1,3663.1,554.6,570.1,1685.4,2626.1,3397.4,198.7,82.2,10,30,0
"106",0.931234,452.6,277.7,1399.8,1282.3,2617.8,296.9,3692.5,724.8,574.3,1668.1,2622.7,3391.3,198.1,82.3,10,30,0
"107",0.933234,421.6,242.6,1222.7,1242.3,2615.8,235.3,3758.1,1021.8,578.5,1651,2619.5,3385.6,197.6,82.4,10,30,0
"108",0.935234,414.6,239.1,1178.1,1306.8,2627.4,193,3878.8,1599.2,582.7,1634,2616.6,3380.4,197.2,82.5,9.9,30,0
"109",0.937234,417.7,256.2,1054.4,1492.9,2634,173.9,3971.6,2922.6,586.9,1617.2,2613.9,3375.5,197,82.6,9.7,30,0
"110",0.939234,420,284.2,816.8,1173.3,2629.8,2655.1,2634.2,167,591.1,1600.6,2611.5,3371.1,196.8,82.6,9.5,30,0
"111",0.941234,414.3,314.1,750.4,821.7,2626.1,1709.3,2639.3,154.1,595.4,1584.2,2609.3,3367.1,196.8,82.5,9.2,30,0
"112",0.943234,399.8,324.9,741.3,625.6,2622,1303.8,2656,130.7,599.6,1568,2607.4,3363.5,196.9,82.3,8.8,30,0
"113",0.945234,383.7,306.4,762.1,519.1,2606.1,1062.7,2677.5,107,603.8,1552.1,2605.8,3360.3,197.2,82.1,8.4,30,0
"114",0.947234,371,277,797.7,429.8,2580.6,872.1,2698.2,93,608.1,1536.4,2604.5,3357.5,197.6,81.7,7.8,30,0
"115",0.949234,365.1,262.2,822,349.3,2537.5,725,2717.4,86.6,612.3,1520.9,2603.4,3355.2,198.1,81.2,7.2,30,0
"116",0.951234,366.6,262.3,832.7,294.1,2476.3,623.7,2735.1,77.1,616.5,1505.7,2602.6,3353.3,198.7,80.7,6.4,30,0
"117",0.953234,376.1,267.6,838.6,273.3,2413.4,564.8,2746.2,65.1,620.8,1490.8,2602.1,3351.8,199.4,80,5.7,30,0
"118",0.969234,383.2,93.7,1112.1,433.5,2397.8,383.2,2746,49.2,653.5,1381.8,2607.5,3355.5,207.2,76.8,4,30,0
"119",0.971234,363.9,106.9,1122.8,455.5,2380.9,410.1,2753.3,42.6,657.4,1369.6,2609.4,3357.9,208.1,76.6,5.2,30,0
"120",0.973234,342.2,133.1,1130.2,530.3,2348.2,498.6,2761.6,39.8,661.3,1357.8,2611.6,3360.7,208.9,76.4,6.4,30,0
"121",0.975234,323.5,176.3,1120.7,690.7,2283.1,666.4,2771.1,40.5,665.1,1346.3,2614,3363.9,209.6,76.1,7.1,30,0
"122",0.977234,312.3,230.2,1078.7,981.2,2182.8,901.2,2782.9,48.7,668.9,1335.2,2616.7,3367.6,210.3,75.9,7.4,30,0
"123",0.979234,306.9,268,1029.5,1319.8,2120.7,1189.2,2796,72.5,672.6,1324.4,2619.6,3371.7,210.8,75.7,7.5,30,0
"124",0.981234,299.5,275,1150.8,1614.9,2088.4,2010.5,2805,115.5,676.3,1314.1,2622.8,3376.2,211.1,75.5,7.4,30,0
"125",0.983234,288.6,244.7,1413.1,1022.2,2809.8,145.5,4038.4,691.3,679.9,1304,2626.2,3381.1,211.4,75.3,7.4,30,0
"126",0.985234,283.9,219.1,1477.8,565,2832.6,161.9,3804,629,683.4,1294.4,2629.9,3386.4,211.4,75,7.5,30,0
"127",0.987234,293.9,262.8,1517.1,351,2870.8,172.9,3745,475.6,686.8,1285.2,2633.8,3392.1,211.4,74.5,7.9,30,0
"128",0.989234,324.7,420.5,1533.6,282.1,2903.6,166.4,3733,403.1,690.2,1276.3,2637.9,3398.2,211.1,73.8,8.7,30,0
"129",0.991234,519.5,715.6,1540,271.9,2924.6,153.6,3737.4,375.3,693.5,1267.9,2642.3,3404.7,210.7,72.9,9.3,30,0
"130",0.993234,740.4,535.8,1546.2,290,2938.1,144.7,3758.6,389.8,696.7,1259.8,2646.9,3411.6,210.2,71.9,9.7,30,0
"131",0.995234,844.6,320.4,1561.6,297.7,2949.6,140.6,3813,446.1,699.8,1252.1,2651.8,3418.9,209.5,70.9,9.4,30,0
"132",0.997234,886.4,167.1,1579.7,249.8,2957.5,136.4,3915.9,480.7,702.8,1244.9,2656.9,3426.6,208.6,69.9,8.2,30,0
"133",0.999234,895.8,92,1582.9,184.7,2952.4,140.4,3964.1,406.8,705.8,1238.1,2662.2,3434.6,207.6,69.1,6.2,30,0
"134",1.043234,858.2,67.7,1416.1,219,2863.2,216.8,3718.1,167,744.4,1194.2,2822.1,3689,171.8,80.8,5.8,30,0
"135",1.045234,851,76.1,1431.4,188.4,2861.7,182.5,3733.4,163.3,744.9,1197,2830.7,3703.2,170.5,81,6.4,30,0
"136",1.047234,841.3,79.8,1441.2,158.2,2859.4,154.8,3733.4,154.3,745.2,1200.2,2839.4,3717.6,169.2,81.1,6.6,30,0
"137",1.049234,834.9,76,1443,134.3,2857.7,133.9,3723.5,143.1,745.4,1203.8,2848.1,3732.2,168.1,81,6.5,30,0
"138",1.051234,830.9,70.4,1439.9,117.4,2859.1,117.8,3713.2,132.8,745.4,1207.8,2856.9,3746.9,167,80.8,6.3,30,0
"139",1.053234,826.4,69.7,1434.6,112.2,2866,110.9,3708.5,133.1,745.4,1212.2,2865.8,3761.7,166,80.3,6,30,0
"140",1.055234,820.1,76.7,1430.6,121,2876.4,115.2,3709.9,149.5,745.2,1216.9,2874.6,3776.6,165,79.6,5.8,30,0
"141",1.057234,813.4,91.9,1433.2,145.8,2886.1,130.8,3717.3,181.7,744.9,1222.1,2883.5,3791.6,164.2,78.8,5.6,30,0
"142",1.059234,811.2,110.4,1445.7,177.4,2893.2,153,3728.6,220.9,744.5,1227.6,2892.4,3806.7,163.4,77.9,5.4,30,0
"143",1.061234,813.9,129.3,1465.5,203,2904.5,177.4,3746.5,270.8,743.9,1233.4,2901.3,3821.8,162.7,77,5.3,30,0
"144",1.063234,819.1,148.7,1487.1,219.6,2922.6,198,3783.6,332,743.3,1239.7,2910.1,3837.1,162,76.3,5.3,30,0
"145",1.065234,827.9,164.9,1508,238.4,2933.5,207.5,3842.2,355.2,742.5,1246.2,2919,3852.3,161.5,75.7,5.5,30,0
"146",1.067234,842,174.5,1527.6,281.4,2926,211.7,3894.6,304.3,741.6,1253.1,2927.9,3867.6,161,75.2,6.3,30,0
"147",1.069234,856.8,179.9,1540.5,352.9,2915.3,217.6,3929.9,243.3,740.6,1260.4,2936.7,3883,160.5,74.8,7.4,30,0
"148",1.071234,869.7,189.7,1543.1,414.2,2922,224.3,3974.4,205.2,739.5,1268,2945.5,3898.3,160.1,74.3,8.7,30,0
"149",1.073234,878.9,211.8,1541.5,400,2954.1,219,4036.6,181.6,738.3,1275.9,2954.2,3913.7,159.8,73.9,9.7,30,0
"150",1.075234,881.8,251.6,1544.8,337.4,2990.3,194.1,4096.4,160.2,736.9,1284.1,2962.9,3929,159.5,73.5,10.1,30,0
"151",1.077234,867.7,325.9,1554.5,289.2,3007.8,173,4141.5,150,735.5,1292.7,2971.6,3944.4,159.2,72.9,9.8,30,0
"152",1.079234,817.7,425.6,1569,270.5,3004.5,177.6,4174.2,162.6,733.9,1301.6,2980.1,3959.7,159,72.3,9,30,0
"153",1.081234,729.9,506.3,1584.3,281.8,2984.3,212.3,4204.5,200.5,732.2,1310.7,2988.6,3974.9,158.9,71.6,7.9,30,0
"154",1.083234,637.9,494,1584.5,328.8,2946.4,265.2,4232.9,263.6,730.4,1320.1,2997,3990.1,158.7,70.8,6.7,30,0
"155",1.085234,607.5,421.9,1560.8,380.3,2908.4,282.6,4258.6,337,728.5,1329.9,3005.4,4005.2,158.6,70,5.7,30,0
"156",1.087234,614.6,393.5,1531.3,404.1,2895.8,252.9,4281.3,383,726.5,1339.8,3013.6,4020.3,158.5,69.2,4.6,30,0
"157",1.089234,613,403.8,1504.3,417.9,2897.6,228,4291.9,367.3,724.4,1350.1,3021.7,4035.3,158.5,68.7,3.3,30,0
"158",1.209234,575.1,151.4,2121.8,286.1,2785.5,142.9,4176.3,584.2,517.5,2091.5,3133.6,4478.1,168.2,74.1,15.9,30,0
"159",1.211234,536.9,131.4,2173.9,412.3,2740,143.5,4257.7,657.9,514.7,2100.2,3128.1,4475.6,168.1,76,11.2,30,0
"160",1.213234,522.2,114.6,2234.7,442.8,2732.8,122,4291.8,521.7,511.9,2108.6,3122.4,4472.7,167.9,77.4,5.1,30,0
"161",1.215234,515.8,98.7,2291.7,369.1,2747.8,107.5,4263.3,346.2,509.2,2116.7,3116.5,4469.5,167.7,78.6,2.8,30,0
"162",1.217234,512.3,85.1,2327.7,277.1,2768.6,95.1,4233.6,227.3,506.6,2124.5,3110.4,4466,167.5,79.4,4.6,30,0
"163",1.219234,509.1,77.3,2348.8,217.8,2786.1,88.5,4216.4,166.7,504.1,2132.1,3104.1,4462.2,167.3,79.9,7.1,30,0
"164",1.221234,504.8,75.5,2371.1,179.8,2800.9,89.9,4206.4,137.1,501.7,2139.3,3097.7,4458.1,167,80.3,9.8,30,0
"165",1.223234,499.6,78.7,2399.6,148.4,2814.7,94.4,4199.4,127.7,499.3,2146.2,3091,4453.7,166.8,80.5,12.2,30,0
"166",1.225234,494.6,84.4,2428.7,118.6,2827.1,92.8,4193.6,136,497.1,2152.8,3084.2,4449.1,166.5,80.5,13.5,30,0
"167",1.227234,489.1,88.9,2451.6,93.1,2835.8,84.1,4190.1,166.9,494.9,2159.2,3077.2,4444.2,166.2,80.4,13.7,30,0
"168",1.229234,483.3,88.1,2462.9,76.7,2839.3,76.8,4193.7,219.9,492.9,2165.1,3070,4439,166,80.1,13.1,30,0
"169",1.231234,476.5,83.5,2464.8,67.2,2839.8,75.4,4211.6,278.9,490.9,2170.8,3062.7,4433.5,165.7,79.7,11.9,30,0
"170",1.233234,468,78.7,2461.5,62.6,2838.9,80.9,4242.4,308.8,489,2176.1,3055.3,4427.8,165.4,79.2,10.7,30,0
"171",1.235234,458.1,75.3,2457.3,62.4,2836.9,92.6,4273.4,302.6,487.3,2181.2,3047.6,4421.9,165.1,78.5,9.8,30,0
"172",1.237234,448.7,74.6,2454.4,68.5,2832.4,105.1,4297.3,279.1,485.6,2185.8,3039.9,4415.8,164.9,77.6,12.4,30,0
"173",1.239234,444,78.4,2453.7,84.1,2827.2,109.6,4313.3,259.9,484,2190.2,3032,4409.4,164.6,76.5,18.3,30,0
"174",1.241234,445.3,85.7,2455.2,114.5,2821.4,109.5,4326.7,259.7,482.5,2194.2,3024,4402.7,164.4,75.2,22.6,30,0
"175",1.243234,450.9,93,2459.8,160.8,2810.7,111.3,4337.8,290,481.2,2197.9,3015.9,4395.9,164.2,73.7,20.4,30,0
"176",1.245234,459,102,2466.1,210.6,2793,116.8,4343.6,350.2,479.9,2201.2,3007.6,4388.9,164,72,6.8,30,0
"177",1.247234,474.3,119.4,2467.9,249.3,2770.9,126.8,4342.9,421.8,478.7,2204.2,2999.3,4381.7,163.8,70.1,-24.8,30,0
"178",1.249234,501.9,134.9,2462.4,265.4,2757.4,136.2,4341.3,464.1,477.6,2206.8,2990.9,4374.2,163.7,68,-71.2,30,0
"179",1.251234,522.4,120.3,2454.1,261.1,2763.5,135.2,4337.9,462.2,476.7,2209.1,2982.3,4366.6,163.6,65.8,-122.4,30,0
"180",1.253234,517.9,89.6,2447,260.9,2779.4,124.5,4327.1,431.1,475.8,2211.1,2973.7,4358.9,163.5,63.9,-168.6,30,0
"181",1.255234,506.3,70.6,2439.6,272.3,2794.9,114.2,4311.7,397.7,475.1,2212.7,2965,4350.9,163.4,62.8,-200,30,0
"182",1.257234,494.8,62.6,2421.2,305.8,2808.3,108.2,4304.5,386,474.4,2214,2956.2,4342.8,163.4,62.5,-213.2,30,0
"183",1.259234,484.4,62.9,2385,373.6,2818.2,108.7,4314.8,405.4,473.8,2214.9,2947.4,4334.6,163.4,62.8,-214.9,30,0
"184",1.261234,473.6,70.9,2346.1,473.9,2823.1,120.8,4339.9,439,473.4,2215.4,2938.5,4326.2,163.4,63.3,-209.9,30,0
